Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
0,78.33256056,-0.2601,17358.17096,5
0.001,78.32918633,-0.4559,17357.2459,5
0.002,78.32743789,-0.3576,17356.16625,5
0.003,78.32733328,-0.1131,17354.92741,5
0.004,78.32887124,0.0835,17353.51796,5
0.005,78.33203227,0.1102,17351.92597,5
0.006,78.33677855,-0.1218,17350.14613,5
0.007,78.34305333,-0.8377,17348.1827,5
0.008,78.35078041,-2.3277,17346.04633,5
0.009,78.35986486,-4.6794,17343.74799,5
0.01,78.37019482,-6.6694,17341.29477,5
0.011,78.38164386,-7.0571,17338.69051,5
0.012,78.39407306,-6.4903,17335.9401,5
0.013,78.40733237,-5.7467,17333.05329,5
0.014,78.42126188,-5.0463,17330.04472,5
0.015,78.43569341,-4.5504,17326.93023,5
0.016,78.450453,-4.0891,17323.7225,5
0.017,78.46536385,-3.7996,17320.43015,5
0.018,78.4802491,-3.8814,17317.06121,5
0.019,78.49493365,-4.1338,17313.62855,5
0.02,78.50924522,-4.51630000000001,17310.15295,5
0.021,78.52301528,-5.56300000000002,17306.66099,5
0.022,78.5360806,-7.25670000000001,17303.17905,5
0.023,78.54828579,-8.232,17299.72762,5
0.024,78.55948634,-8.1765,17296.32045,5
0.025,78.56955111,-7.9741,17292.96898,5
0.026,78.57836361,-7.64499999999999,17289.68878,5
0.027,78.58582219,-6.98179999999998,17286.50301,5
0.028,78.59183994,-5.89969999999998,17283.44027,5
0.029,78.59634501,-4.9474,17280.52869,5
0.03,78.59928195,-5.02580000000002,17277.79045,5
0.031,78.60061329,-5.91910000000003,17275.24065,5
0.032,78.60032074,-7.46580000000007,17272.89016,5
0.033,78.59840556,-10.6149000000001,17270.74948,5
0.034,78.59488812,-16.6477000000002,17268.83,5
0.035,78.5898074,-24.7668000000001,17267.14186,5
0.036,78.58322066,-31.5835000000001,17265.69071,5
0.037,78.57520341,-35.4076000000001,17264.47618,5
0.038,78.56584901,-37.5698000000001,17263.49344,5
0.039,78.55526781,-39.8616000000001,17262.73615,5
0.04,78.54358553,-43.1664000000001,17262.19824,5
0.041,78.53094142,-46.5042000000001,17261.87291,5
0.042,78.51748666,-48.5854,17261.74984,5
0.043,78.50338307,-49.5865,17261.81314,5
0.044,78.48880179,-50.1142,17262.04172,5
0.045,78.4739217,-50.2559,17262.41221,5
0.046,78.45892705,-49.8908,17262.90239,5
0.047,78.44400465,-49.3536,17263.49307,5
0.048,78.42934095,-48.7525000000192,17264.16771,5
0.049,78.4151193,-603.286800000022,17264.91039,5
0.05,78.40151776,-1229.91960000002,17265.70389,5
0.051,78.38870718,-1820.53690000002,17266.52898,5
0.052,78.37684945,-2394.01450000002,17267.36514,5
0.053,78.36609565,-2893.40550000001,17268.19211,5
0.054,78.35658406,-3099.31779999999,17268.99155,5
0.055,78.34843823,-2826.71139999997,17269.74796,5
0.056,78.34176499,-2080.28089999995,17270.44895,5
0.057,78.33665288,-914.99359999993,17271.08493,5
0.058,78.33317079,755.766700000097,17271.64843,5
0.059,78.33136707,3073.58420000014,17272.13356,5
0.06,78.33126894,5982.44660000016,17272.53581,5
0.061,78.33288219,9207.57810000016,17272.85221,5
0.062,78.33619109,12491.4512000002,17273.08176,5
0.063,78.34115855,15804.6639000001,17273.22583,5
0.064,78.3477264,19277.1208000002,17273.28838,5
0.065,78.355816,22936.8183000002,17273.27596,5
0.066,78.36532907,26641.8231000002,17273.1977,5
0.067,78.37614871,30210.8572000001,17273.06521,5
0.068,78.38814077,33540.5115000001,17272.8925,5
0.069,78.40115535,36602.3981000001,17272.69553,5
0.07,78.41502868,39335.6189000001,17272.49133,5
0.071,78.42958525,41616.8267000001,17272.29682,5
0.0720000000000001,78.44464036,43348.4809000001,17272.12779,5
0.0730000000000001,78.46001026,44579.5792000001,17272.02834,5
0.0740000000000001,78.47529847,45469.5676,17271.99545,5
0.0750000000000001,78.49049754,46087.8369,17271.99926,5
0.0760000000000001,78.50542265,46345.3273,17272.08333,5
